zipcode	eScore	fuelOil1	fuelOil2	fuelOil4	districtSteamUse	naturalGasUse	numberOfPersonsInjured	numberOfPersonsKilled	noise_residential	illegal_parking	heat_hotwater	blocked_driveway	noise_street_sidewalk	unsanitary_condition	street_condition	water_system	construction_or_plumbing	noise_commercial	noise_vehicle	damaged_tree	sidewalk_condition	rodent	sewer	graffiti
11208	51.75	\N	913488.5294	14108951.5	\N	5651531.62	77	5	11079	8846	4764	9031	4807	2467	1911	1959	1076	1223	2236	1056	927	932	960	615
11214	53.2642	\N	1447678.421	9218267.5	\N	4360329.297	50	3	5534	9834	4316	5591	587	1067	1304	1035	1247	532	330	990	1082	436	922	276
11220	55.6404	0	736500.3636	3625034	\N	3706872.588	37	2	5729	6437	4826	4365	2304	1382	1814	1323	1190	932	910	712	765	738	492	899
11226	57.1514	0	704772.7818	2169910.4	\N	4039266.355	71	2	16947	5700	18502	5941	10122	5677	1002	1197	1429	1263	2807	618	506	1698	817	663
11232	61.726	\N	1852106.539	1828139	\N	4890310.711	23	2	2361	2922	1417	1573	1296	493	1717	495	495	559	347	286	306	347	361	341
11238	65.7778	2015611	1551832.107	3540670.333	\N	3847645.884	50	3	6714	8460	3777	2161	4478	1372	1027	1487	1353	2336	1215	752	633	2325	486	349
11203	45.1462	\N	501427.2308	2474985	\N	10284985.13	123	6	6374	3785	6084	6843	2255	2407	1015	1245	861	570	818	1072	643	695	1202	269
11209	59.9907	\N	624906.0714	4079108.333	\N	4396513.784	15	1	4093	8680	6666	3712	964	1078	1505	875	1320	1370	617	1702	850	631	625	308
11215	62.8492	\N	661690.9655	3022929.75	\N	3416741.586	51	4	2383	6884	1757	2032	1370	677	1699	1898	1366	1557	658	1116	1197	1253	879	351
11221	62.9469	\N	1890737.35	6706656	\N	3188024.016	98	1	15823	5472	4927	5429	5705	2530	1396	1617	1788	2479	2234	693	1349	2142	833	994
11233	58.1591	\N	828621	6553940	\N	3054778.276	62	3	8873	5485	6442	3970	4019	2675	1196	1266	1232	615	1208	687	798	1678	859	462
11239	60.65	\N	51051507	5241692	\N	86390010.39	23	2	479	505	618	267	84	313	197	98	24	16	88	83	138	44	43	1
11204	52.8519	\N	717714.1154	5691518	\N	3457546.391	42	4	3411	10259	2626	4741	682	918	886	1095	1324	209	419	1500	1055	267	696	244
11210	54.048	\N	400836.6667	3905305.333	2062826	7388350.885	46	2	5004	5227	4307	4616	711	1702	1074	1067	943	313	304	1842	719	411	762	237
11216	54.9495	\N	370533.2941	5378397	\N	3566432.704	73	4	7934	4177	5031	1871	5037	1895	1030	862	1480	1964	1455	648	535	2173	494	632
11222	71.0274	\N	1899724.273	2330650	\N	3527667.643	24	3	3872	4634	1320	1931	2241	596	1433	918	1436	1532	1352	564	939	691	407	543
11228	51.2917	\N	1362811.333	1575194	\N	5034703.677	23	2	1569	4921	607	2182	246	225	890	645	948	965	129	1118	804	200	558	74
11234	68.6567	\N	958730.6471	1769228	\N	3472608.276	67	12	4570	8155	1319	5638	911	649	2215	2169	1258	521	468	3073	1416	560	1923	166
11205	70.1345	\N	602664.8571	3866644.5	\N	4472667.268	42	3	5094	5170	1187	1778	1515	572	851	462	1034	1210	621	328	636	852	289	440
11211	61.7532	\N	1630258.52	8744852.5	\N	2755411.755	47	2	7824	4502	2518	2267	5551	1046	1404	1429	1521	2968	1726	535	970	1051	618	903
11217	69.4808	\N	2515617.529	833752.3333	\N	3499078.75	54	4	4085	5588	1004	1173	2712	534	1036	918	836	1316	583	633	685	904	421	199
11223	65.3415	\N	575933.7826	7056326.333	\N	4361130.369	40	6	4195	8492	2302	4878	691	712	1619	1152	1478	457	579	1508	1677	495	890	302
11229	60.375	\N	520773.5758	5356594	\N	4404471.76	24	5	4903	4339	2896	4273	1418	1324	1840	1717	1071	223	465	2201	1372	428	911	182
11235	62.7882	0	1481772.058	1908094.125	\N	6488527.829	42	4	4281	5679	4561	4398	832	1022	1211	1017	1264	701	460	1181	1353	1060	861	170
11241	89.5	\N	\N	9300448	\N	21364	0	0	0	6	0	0	0	1	9	5	0	0	0	1	0	1	2	0
11206	66.3353	\N	1117222.824	5198179	\N	8002104.653	61	3	13029	5190	3238	3235	4932	1531	1207	1154	1110	2379	1436	290	1372	1024	602	1090
11212	52.6364	\N	879365.1739	2788429.2	\N	4066735.108	68	5	9140	3309	6578	4674	2316	3145	1192	1023	593	352	826	701	440	692	740	375
11218	59.3333	\N	1341018.458	6507205	\N	3917316.919	50	5	3630	6801	4007	4532	1428	1247	1176	1061	1175	448	1159	1210	802	653	750	391
11224	54.9219	\N	680560.8333	5937674	\N	31549672.45	37	2	3573	1509	941	950	1044	606	564	416	502	134	218	118	461	296	487	84
11230	56.8611	\N	577778.0385	5652034.833	\N	4099628.21	31	3	5636	8371	5807	4864	825	2044	1063	1026	1333	325	617	2165	1149	670	681	347
11236	52.1667	\N	1130491.625	7365164.667	\N	3901287.174	94	7	6677	5339	2191	7756	1281	1172	1911	1474	522	425	604	1766	940	554	1678	228
11242	94	\N	\N	\N	\N	8433900	0	0	0	0	0	0	1	0	0	9	2	0	0	0	0	0	0	0
11201	62.8562	\N	1411269.696	4437205.7	16734245	6736788.958	39	2	7467	8874	961	1217	2151	347	1756	1014	1217	1572	1440	466	882	668	404	157
11207	54.0734	2502000	1020619.563	5479521.6	\N	5538200.705	109	8	11821	7139	5070	6958	4619	2924	1896	1916	1436	1089	1536	1001	1239	1355	1128	706
11213	56.2848	\N	1100880.333	3461484.889	\N	3773849.145	101	3	8668	3549	8048	3215	4188	2924	907	779	1125	866	1110	666	510	1116	515	272
11219	55.4624	\N	761822.5769	5558873.5	\N	5726642.896	29	1	2324	4994	2067	3674	702	864	1527	918	1113	802	314	992	790	422	688	221
11225	54.3286	\N	1674693.813	2318511.857	\N	5005437.553	84	2	8705	4117	10191	2293	7116	2844	667	681	1167	1075	1823	640	486	929	377	297
11231	66.9483	\N	338529.7143	5763934	\N	2459234.423	38	1	2554	3492	1055	952	1055	341	1147	713	934	679	345	655	747	461	351	145
11237	61.9143	\N	1290719.857	2044584	\N	3074177.279	22	2	8855	3218	2985	3641	6269	1597	1355	1423	954	2541	2547	360	2642	1331	460	1088
11249	63.0971	\N	13785611	\N	\N	3662895.81	24	5	3917	2771	928	1094	2524	329	563	446	798	2205	1520	145	385	456	229	232
